127.0.0.1 - - [13/Jun/2021:11:58:54 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Jun/2021:11:58:55 +0530] "GET /Jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:11:58:55 +0530] "GET /Jsp/css/stylemain.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:11:58:55 +0530] "GET /Jsp/images/welcome.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:11:58:55 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Jun/2021:11:59:03 +0530] "POST /Jsp/NewFile.jsp HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [13/Jun/2021:11:59:03 +0530] "GET /Jsp/polina.jpg HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [13/Jun/2021:11:59:03 +0530] "GET /Jsp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:11:59:03 +0530] "GET /Jsp/css/polina.jpg HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/Jun/2021:11:59:03 +0530] "GET /Jsp/polina.jpg HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [13/Jun/2021:11:59:03 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Jun/2021:11:59:32 +0530] "POST /Jsp/NewFile.jsp HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [13/Jun/2021:11:59:32 +0530] "GET /Jsp/polina.jpg HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [13/Jun/2021:11:59:32 +0530] "GET /Jsp/polina.jpg HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [13/Jun/2021:11:59:38 +0530] "POST /Jsp/NewFile.jsp HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [13/Jun/2021:11:59:38 +0530] "GET /Jsp/polina.jpg HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [13/Jun/2021:11:59:38 +0530] "GET /Jsp/css/polina.jpg HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/Jun/2021:11:59:38 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Jun/2021:12:06:10 +0530] "GET /JspCrud/userform.html HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [13/Jun/2021:12:06:10 +0530] "GET /JspCrud/images/main4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:12:06:40 +0530] "POST /JspCrud/adduser.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:12:06:40 +0530] "GET /JspCrud/adduser-success.jsp HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [13/Jun/2021:12:06:44 +0530] "GET /JspCrud/viewusers.jsp HTTP/1.1" 200 1449
0:0:0:0:0:0:0:1 - - [13/Jun/2021:12:06:44 +0530] "GET /JspCrud/images/main2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:12:07:00 +0530] "GET /JspCrud/adduserform.jsp HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [13/Jun/2021:12:07:03 +0530] "GET /JspCrud/viewusers.jsp HTTP/1.1" 200 1449
0:0:0:0:0:0:0:1 - - [13/Jun/2021:12:07:06 +0530] "GET /JspCrud/deleteuser.jsp?id=6 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:12:07:06 +0530] "GET /JspCrud/viewusers.jsp HTTP/1.1" 200 1209
0:0:0:0:0:0:0:1 - - [13/Jun/2021:12:07:09 +0530] "GET /JspCrud/editform.jsp?id=4 HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [13/Jun/2021:12:07:09 +0530] "GET /JspCrud/images/main6.jpg HTTP/1.1" 200 254216
